date,company,amountText,amountUSD,description
20112022_173139,1668961911,etherisc,$100K,100000,Etherisc is developing a protocol for decentralized insurance applications.
20112022_173139,1668961926,treehouse-finance,$20.4M,20400000,"Treehouse is a DeFi analytics platform that delivers data, analytics, and risk management to DeFi users and to drive community innovation."
